P (GPa),Points_0,Points_1,Points_2,T3
0.0255093,-0.000397,0,0,301.931
0.0255093,-0.0003965,0,0,301.931
0.0255298,-0.000396,0,0,301.933
0.0255298,-0.0003955,0,0,301.933
0.0255298,-0.000395,0,0,301.933
0.0255518,-0.0003945,0,0,301.934
0.0255518,-0.000394,0,0,301.934
0.0255518,-0.0003935,0,0,301.934
0.0255518,-0.000393,0,0,301.934
0.0255752,-0.0003925,0,0,301.936
0.0255752,-0.000392,0,0,301.936
0.0255752,-0.0003915,0,0,301.936
0.0255752,-0.000391,0,0,301.936
0.0256002,-0.0003905,0,0,301.938
0.0256002,-0.00039,0,0,301.938
0.0256002,-0.0003895,0,0,301.938
0.0256002,-0.000389,0,0,301.938
0.0256266,-0.0003885,0,0,301.94
0.0256266,-0.000388,0,0,301.94
0.0256266,-0.0003875,0,0,301.94
0.0256266,-0.000387,0,0,301.94
0.0256543,-0.0003865,0,0,301.942
0.0256543,-0.000386,0,0,301.942
0.0256543,-0.0003855,0,0,301.942
0.0256543,-0.000385,0,0,301.942
0.0256833,-0.0003845,0,0,301.944
0.0256833,-0.000384,0,0,301.944
0.0256833,-0.0003835,0,0,301.944
0.0256833,-0.000383,0,0,301.944
0.0257132,-0.0003825,0,0,301.946
0.0257132,-0.000382,0,0,301.946
0.0257132,-0.0003815,0,0,301.946
0.0257132,-0.000381,0,0,301.946
0.0257439,-0.0003805,0,0,301.949
0.0257439,-0.00038,0,0,301.949
0.0257439,-0.0003795,0,0,301.949
0.0257439,-0.000379,0,0,301.949
0.0257755,-0.0003785,0,0,301.951
0.0257755,-0.000378,0,0,301.951
0.0257755,-0.0003775,0,0,301.951
0.0257755,-0.000377,0,0,301.951
0.0258084,-0.0003765,0,0,301.953
0.0258084,-0.000376,0,0,301.953
0.0258084,-0.0003755,0,0,301.953
0.0258084,-0.000375,0,0,301.953
0.0258428,-0.0003745,0,0,301.956
0.0258428,-0.000374,0,0,301.956
0.0258428,-0.0003735,0,0,301.956
0.0258788,-0.000373,0,0,301.959
0.0258788,-0.0003725,0,0,301.959
0.0258788,-0.000372,0,0,301.959
0.0258788,-0.0003715,0,0,301.959
0.0259154,-0.000371,0,0,301.961
0.0259154,-0.0003705,0,0,301.961
0.0259154,-0.00037,0,0,301.961
0.0259154,-0.0003695,0,0,301.961
0.0259496,-0.000369,0,0,301.964
0.0259496,-0.0003685,0,0,301.964
0.0259496,-0.000368,0,0,301.964
0.0259496,-0.0003675,0,0,301.964
0.0259781,-0.000367,0,0,301.966
0.0259781,-0.0003665,0,0,301.966
0.0259781,-0.000366,0,0,301.966
0.0259781,-0.0003655,0,0,301.966
0.0259988,-0.000365,0,0,301.968
0.0259988,-0.0003645,0,0,301.968
0.0259988,-0.000364,0,0,301.968
0.0259988,-0.0003635,0,0,301.968
0.0260109,-0.000363,0,0,301.969
0.0260109,-0.0003625,0,0,301.969
0.0260109,-0.000362,0,0,301.969
0.0260109,-0.0003615,0,0,301.969
0.0260158,-0.000361,0,0,301.969
0.0260158,-0.0003605,0,0,301.969
0.0260158,-0.00036,0,0,301.969
0.0260158,-0.0003595,0,0,301.969
0.0260164,-0.000359,0,0,301.969
0.0260164,-0.0003585,0,0,301.969
0.0260164,-0.000358,0,0,301.969
0.0260164,-0.0003575,0,0,301.969
0.0260144,-0.000357,0,0,301.969
0.0260144,-0.0003565,0,0,301.969
0.0260144,-0.000356,0,0,301.969
0.0260144,-0.0003555,0,0,301.969
0.0260075,-0.000355,0,0,301.968
0.0260075,-0.0003545,0,0,301.968
0.0260075,-0.000354,0,0,301.968
0.0259925,-0.0003535,0,0,301.967
0.0259925,-0.000353,0,0,301.967
0.0259925,-0.0003525,0,0,301.967
0.0259925,-0.000352,0,0,301.967
0.0259648,-0.0003515,0,0,301.965
