Time,distance,Tm
8.819066666666667e-07,0.021350878202078715,300.84
1.1847e-06,0.02135158073773462,300.36
1.174e-06,0.021352283250275602,300.36
7.5515e-07,0.021352751579129095,302.21
9.672249999999999e-07,0.021352985739703945,300.565
7.4319e-07,0.021354390649231832,302.27
3.108469607843137e-07,0.02136000936329383,300.0
6.9535e-07,0.021364456463949646,300.0
1.2391e-06,0.02136445646394965,301.11
7.3115e-07,0.02136492452596077,302.32
1.2282e-06,0.02136609463612852,300.46
1.2173e-06,0.021366562662253372,300.4
7.1906e-07,0.02136679667147137,302.4
6.521225e-07,0.021369370603740296,300.0
1.1634e-06,0.021370306502247458,300.38
1.1527e-06,0.02137077443613123,300.39
1.1421e-06,0.021371242359769355,300.4
1.1316e-06,0.021371710273162512,300.42
1.1211e-06,0.02137217817631137,300.44
9.0875e-07,0.021372646069216603,301.5
1.1002e-06,0.021373113951878887,300.5
6.8307e-07,0.021373581824298892,300.0
1.0898e-06,0.021373815756668253,300.52
1.0794e-06,0.0213742836137261,300.55
1.0692e-06,0.02137498538011196,300.58
1.14905e-06,0.021375687123458744,300.845
6.9535e-07,0.02137592103278827,300.0
1.049e-06,0.021376388843768725,300.61
1.0391e-06,0.021376856644511607,300.63
1.0293e-06,0.02137755832643195,300.67
1.0196e-06,0.021378493866500512,300.72
1.01e-06,0.02138130024109853,300.77
1.0005e-06,0.021383872427603003,300.8
9.9118e-07,0.021386444304745938,300.84
1.2391e-06,0.02138714567210875,301.07
6.9535e-07,0.021387379456118506,300.0
1.2282e-06,0.021388782106515555,300.46
9.8185e-07,0.021389015872638927,300.87
1.2173e-06,0.021389249636207436,300.4
9.7267e-07,0.0213915871313935,300.91
9.6372e-07,0.021393924371185386,300.96
7.069e-07,0.02139556028712499,302.53
1.2064e-06,0.021396027668705235,300.36
9.4459e-07,0.021396495040076072,300.45666666666665
1.1847e-06,0.021397196077991155,300.36
1.174e-06,0.02139789709293883,300.37
1.2391e-06,0.021398598084921356,301.05
9.4706e-07,0.02139859808492136,301.09
6.9535e-07,0.021398831743812557,300.0
9.4005e-07,0.021400700923100625,301.2
9.3552e-07,0.021401869077255845,301.24
9.3103e-07,0.021403270778084363,301.27
9.2358e-07,0.021405373157223868,301.31
9.1558e-07,0.021407475329893528,301.35
9.0706e-07,0.021409810835222247,301.4
1.2391e-06,0.021410044371742903,301.03
6.9535e-07,0.021410277905716216,300.0
7.3115e-07,0.02141051143714227,302.32
1.2282e-06,0.021411679056066574,300.47
1.2173e-06,0.0214121460858084,300.41
8.0859e-07,0.021412379596859384,301.92999999999995
6.99444e-07,0.021414948050368927,300.3
8.7892e-07,0.02141751619586174,301.55
7.069e-07,0.021418449990603897,302.53
6.8307e-07,0.02141938374463654,300.0
8.687e-07,0.021420317457964997,301.59
6.9535e-07,0.021421484542393412,300.0
1.2391e-06,0.021421484542393416,301.02
8.5815e-07,0.021422884959780744,301.64
8.4732e-07,0.02142568551995478,301.69
8.3627e-07,0.021428485714114286,301.76
8.2505e-07,0.02143105223734943,301.82
9.672249999999999e-07,0.02143291860666671,300.505
1.2282e-06,0.021433385173602416,300.52
8.1368e-07,0.02143361845326169,301.89
1.2391e-06,0.021433851730382012,301.01
1.2282e-06,0.021434551546510135,300.5
1.2173e-06,0.021435018077902337,300.41
8.0218e-07,0.021435951110226014,301.95
7.9057e-07,0.021438283513378585,302.04
7.7885e-07,0.021440382459275303,302.1
7.069e-07,0.021441082062246767,302.53
1.2064e-06,0.021441781642391567,300.37
6.8307e-07,0.02144201483070096,300.0
7.6705e-07,0.021442248016474392,302.16
1.1956e-06,0.02144248119971194,300.37
1.1847e-06,0.02144294755857972,300.37
1.174e-06,0.021443647077864343,300.37
7.5515e-07,0.021444113411377027,302.21
6.9535e-07,0.021444346574330492,300.0
1.2282e-06,0.021444579734748826,300.53
7.4319e-07,0.02144574549881631,302.27
3.108469607843137e-07,0.021451340284467078,300.0
6.9535e-07,0.021455768455126464,300.0
9.79675e-07,0.021456001491424258,301.445
1.2391e-06,0.021456467556426898,300.99
1.2173e-06,0.02145763267464517,300.42
7.1906e-07,0.0214578656906972,302.4
6.521225e-07,0.021460428700284626,300.0
1.1634e-06,0.021461593603458246,300.38
1.1527e-06,0.021462059547023907,300.4
1.1421e-06,0.0214625254804741,300.41
1.1316e-06,0.02146299140380949,300.43
1.1211e-06,0.02146345731703073,300.45
1.1106e-06,0.021463923220138483,300.48
7.069e-07,0.021463923220138487,302.53
1.1002e-06,0.02146438911313341,300.5
6.8307e-07,0.021464854996016164,300.0
1.0898e-06,0.02146508793366568,300.52
1.0794e-06,0.02146555380138141,300.55
1.0692e-06,0.02146625258399798,300.58
1.059e-06,0.021466951343868088,300.6
6.9535e-07,0.021467184258770408,300.0
1.2282e-06,0.02146741717114567,300.65
1.049e-06,0.02146765008099396,300.62
1.0391e-06,0.02146811589310995,300.63
