Time,"Points:0","Points:1","Points:2","Tm"
9.4005e-07,0.00035156,0.00094632,0,300.97
9.4005e-07,0.00035547,0.00094631,0,300.97
9.4005e-07,0.00035938,0.00094631,0,300.97
9.4005e-07,0.00036328,0.00094631,0,300.98
9.4005e-07,0.00036719,0.00094631,0,300.98
9.4005e-07,0.00037109,0.0009463,0,300.98
9.4005e-07,0.000375,0.0009463,0,300.98
9.4005e-07,0.00037891,0.0009463,0,300.98
9.4005e-07,0.00038281,0.0009463,0,300.98
9.4005e-07,0.00038672,0.0009463,0,300.99
9.4005e-07,0.00039063,0.00094629,0,300.99
9.4005e-07,0.00039453,0.00094629,0,300.99
9.4005e-07,0.00039844,0.00094629,0,300.99
9.4005e-07,0.00040234,0.00094629,0,300.99
9.4005e-07,0.00040625,0.00094629,0,301
9.4005e-07,0.00041016,0.00094629,0,301
9.4005e-07,0.00041406,0.00094629,0,301
9.4005e-07,0.00041797,0.00094628,0,301
9.4005e-07,0.00042188,0.00094628,0,301.01
9.4005e-07,0.00042578,0.00094628,0,301.01
9.4005e-07,0.00042969,0.00094628,0,301.02
9.4005e-07,0.00043359,0.00094628,0,301.02
9.4005e-07,0.0004375,0.00094628,0,301.02
9.4005e-07,0.00044141,0.00094628,0,301.03
9.4005e-07,0.00044531,0.00094628,0,301.03
9.4005e-07,0.00044922,0.00094627,0,301.04
9.4005e-07,0.00045312,0.00094627,0,301.04
9.4005e-07,0.00045703,0.00094627,0,301.05
9.4005e-07,0.00046094,0.00094627,0,301.05
9.4005e-07,0.00046484,0.00094627,0,301.06
9.4005e-07,0.00046875,0.00094627,0,301.07
9.4005e-07,0.00047266,0.00094627,0,301.09
9.4005e-07,0.00047656,0.00094627,0,301.11
9.4005e-07,0.00048047,0.00094627,0,301.14
9.4005e-07,0.00048437,0.00094627,0,301.17
9.4005e-07,0.00048828,0.00094627,0,301.2
9.4005e-07,0.00049219,0.00094627,0,301.21
9.4005e-07,0.00049609,0.00094627,0,301.22
9.4005e-07,0.0005,0.00094627,0,301.23
9.4005e-07,-0.00012891,0.00094711,0,301.27
9.4005e-07,-0.000125,0.00094707,0,301.29
9.4005e-07,-0.00013281,0.00094705,0,301.25
9.4005e-07,-0.00013672,0.000947,0,301.23
9.4005e-07,-0.00014062,0.00094695,0,301.21
9.4005e-07,-0.00014453,0.0009469,0,301.2
9.4005e-07,-0.00014844,0.00094686,0,301.19
9.4005e-07,-0.00015234,0.00094682,0,301.17
9.4005e-07,-0.00015625,0.00094678,0,301.16
9.4005e-07,-0.00016016,0.00094675,0,301.15
9.4005e-07,-0.00016406,0.00094672,0,301.14
9.4005e-07,-0.00016797,0.00094668,0,301.13
9.4005e-07,-0.00017187,0.00094666,0,301.12
9.4005e-07,-0.00017578,0.00094663,0,301.12
9.4005e-07,-0.00017969,0.0009466,0,301.11
9.4005e-07,-0.00018359,0.00094658,0,301.1
9.4005e-07,-0.0001875,0.00094656,0,301.09
9.4005e-07,-0.00019141,0.00094655,0,301.09
9.4005e-07,-0.00019531,0.00094653,0,301.08
9.4005e-07,-0.00019922,0.00094651,0,301.07
9.4005e-07,-0.00020313,0.00094649,0,301.07
9.4005e-07,-0.00020703,0.00094648,0,301.06
9.4005e-07,-0.00021094,0.00094646,0,301.06
9.4005e-07,-0.00021484,0.00094645,0,301.06
9.4005e-07,-0.00021875,0.00094643,0,301.05
